Gene 1,Gene 2,Weight,Network group,cluster
AATK,FTH1,0.009169389,Co-expression,1,
AATK,TUBB4A,0.002517762,Co-expression,1,
NEFL,TUBB4A,0.003506177,Co-expression,1,
NEFL,AATK,0.004814123,Co-expression,1,
DNM3,PCDH9,0.013026046,Co-localization,1,
DNM3,ANO4,0.015555436,Co-localization,1,
ANK2,PCDH9,0.005325533,Co-localization,1,
ANK2,DNM3,0.004845568,Co-localization,1,
HSPA12A,ANO4,0.018541334,Co-localization,1,
HSPA12A,ANK2,0.005879564,Co-localization,1,
GLRB,PCDH9,0.00801029,Co-localization,1,
GLRB,DNM3,0.007141767,Co-localization,1,
GLRB,ANK2,0.003069689,Co-localization,1,
GLRB,HSPA12A,0.008407644,Co-localization,1,
TUBB4A,PCDH9,0.004895981,Co-localization,1,
TUBB4A,DNM3,0.004355496,Co-localization,1,
TUBB4A,ANK2,0.001917739,Co-localization,1,
TUBB4A,GLRB,0.002806308,Co-localization,1,
FKBP1B,ANO4,0.013140329,Co-localization,1,
FKBP1B,DNM3,0.00978283,Co-localization,1,
FKBP1B,ANK2,0.004096114,Co-localization,1,
FKBP1B,HSPA12A,0.012441264,Co-localization,1,
FKBP1B,GLRB,0.005806354,Co-localization,1,
FKBP1B,TUBB4A,0.003575368,Co-localization,1,
XKR6,ST18,0.01876405,Co-localization,1,
CNTN2,DNM3,0.017803501,Co-localization,1,
CNTN2,ANK2,0.007346717,Co-localization,1,
CNTN2,TUBB4A,0.006641991,Co-localization,1,
ANKRD29,ANO4,0.028870072,Co-localization,1,
ANKRD29,DNM3,0.013925854,Co-localization,1,
ANKRD29,FKBP1B,0.012359018,Co-localization,1,
PAQR8,ANK2,0.004751522,Co-localization,1,
PAQR8,GLRB,0.00704999,Co-localization,1,
PAQR8,TUBB4A,0.004336693,Co-localization,1,
PAQR8,CNTN2,0.01814336,Co-localization,1,
UNC13C,PCDH9,0.015115198,Co-localization,1,
UNC13C,DNM3,0.012061006,Co-localization,1,
CLU,CDC37L1,0.02748425,Co-localization,1,
CLU,ENPP2,0.035796687,Co-localization,1,
AATK,ANO4,0.006934853,Co-localization,1,
AATK,DNM3,0.005589565,Co-localization,1,
AATK,ANK2,0.002465632,Co-localization,1,
AATK,HSPA12A,0.00667819,Co-localization,1,
AATK,GLRB,0.003524659,Co-localization,1,
AATK,TUBB4A,0.002221935,Co-localization,1,
AATK,FKBP1B,0.004724567,Co-localization,1,
AATK,CNTN2,0.008529188,Co-localization,1,
AATK,PAQR8,0.005577976,Co-localization,1,
NACC2,ANO4,0.020976229,Co-localization,1,
NACC2,DNM3,0.012787782,Co-localization,1,
NACC2,ANK2,0.005070495,Co-localization,1,
NACC2,GLRB,0.007448755,Co-localization,1,
NACC2,TUBB4A,0.004543509,Co-localization,1,
NACC2,FKBP1B,0.011074716,Co-localization,1,
NACC2,PAQR8,0.012248976,Co-localization,1,
NACC2,AATK,0.006190174,Co-localization,1,
PROX1,ST18,0.027736494,Co-localization,1,
GLRB,DNM3,0.004366125,Co-localization,1,
GLRB,TMEFF2,0.010709964,Co-localization,1,
XKR6,ST18,0.021972869,Co-localization,1,
XKR6,DNM3,0.011174113,Co-localization,1,
XKR6,PROX1,0.029666139,Co-localization,1,
CNTN2,ST18,0.006221418,Co-localization,1,
CNTN2,DNM3,0.003348313,Co-localization,1,
CNTN2,PROX1,0.008546111,Co-localization,1,
CNTN2,TMEFF2,0.00848539,Co-localization,1,
CNTN2,GLRB,0.003445181,Co-localization,1,
CNTN2,XKR6,0.008104286,Co-localization,1,
ANKRD29,DNM3,0.009870335,Co-localization,1,
ANKRD29,GLRB,0.010049651,Co-localization,1,
PAQR8,DNM3,0.008259417,Co-localization,1,
PAQR8,GLRB,0.00827507,Co-localization,1,
UNC13C,ST18,0.010678413,Co-localization,1,
UNC13C,ENPP2,0.014074845,Co-localization,1,
UNC13C,PROX1,0.015139187,Co-localization,1,
UNC13C,XKR6,0.014801805,Co-localization,1,
AATK,DNM3,0.004442982,Co-localization,1,
AATK,TMEFF2,0.010694767,Co-localization,1,
AATK,GLRB,0.004435598,Co-localization,1,
AATK,ANKRD29,0.010427504,Co-localization,1,
NACC2,DNM3,0.006226714,Co-localization,1,
NACC2,GLRB,0.00605057,Co-localization,1,
NACC2,AATK,0.006377797,Co-localization,1,
FTH1,ZEB2,0.020833334,Other,1,
PDE4B,ZEB2,0.012055211,Other,1,
UBXN7,PDE4B,0.007475516,Other,1,
PROX1,ANK2,0.003945336,Other,1,
CNTN2,EFNB3,0.024420062,Other,1,
PDE4B,DNM3,0.02246628,Predicted,1,
UBXN7,MAP7,0.012803489,Predicted,1,
ANKRD29,ST18,0.015732719,Predicted,1,
NEFL,ERBIN,0.01089571,Predicted,1,
NEFL,ANK2,0.013092057,Predicted,1,
DNM3,ST18,0.00404163,Predicted,1,
ANK2,PTPRD,0.002313074,Predicted,1,
EFNB3,ANK2,0.000939356,Predicted,1,
PDE4B,ANK2,0.001581765,Predicted,1,
ENPP2,ANK2,0.001769705,Predicted,1,
ENPP2,ZEB2,0.006338856,Predicted,1,
PROX1,PTPRD,0.000753513,Predicted,1,
PROX1,ANK2,0.000722429,Predicted,1,
PROX1,PDE4B,0.001056761,Predicted,1,
TMEFF2,DNM3,0.001566713,Predicted,1,
TMEFF2,ANK2,0.000658898,Predicted,1,
TMEFF2,ZEB2,0.002432181,Predicted,1,
TMEFF2,ENPP2,0.002225685,Predicted,1,
RHBDL2,EFNB3,0.21899201,Predicted,1,
ARVCF,ERBIN,0.2057299,Predicted,1,
HSPA12A,CDC37L1,0.007002712,Predicted,1,
HSPA12A,TMEFF2,0.002199864,Predicted,1,
GLRB,PCDH9,0.09109556,Predicted,1,
GLRB,DNM3,0.003456434,Predicted,1,
GLRB,TMEFF2,0.002107614,Predicted,1,
LRRC1,ERBIN,0.19589706,Predicted,1,
UBXN7,ERBIN,0.14390102,Predicted,1,
BICC1,QKI,0.119439594,Predicted,1,
BICC1,ANK2,0.000557033,Predicted,1,
BICC1,PDE4B,0.001029265,Predicted,1,
BICC1,PROX1,0.000676994,Predicted,1,
TUBB4A,PCDH9,0.08258902,Predicted,1,
FTL1,FTH1,0.16234946,Predicted,1,
BRWD1,ANO4,0.11592381,Predicted,1,
XKR6,ST18,0.002878396,Predicted,1,
XKR6,DNM3,0.002130385,Predicted,1,
XKR6,ANK2,0.000758794,Predicted,1,
XKR6,ZEB2,0.003226325,Predicted,1,
XKR6,ENPP2,0.002806115,Predicted,1,
XKR6,TMEFF2,0.001603111,Predicted,1,
XKR6,HSPA12A,0.002691886,Predicted,1,
XKR6,BRWD1,0.006788481,Predicted,1,
CNTN2,PTPRD,0.001648629,Predicted,1,
CNTN2,DNM3,0.001755102,Predicted,1,
CNTN2,ANK2,0.000767916,Predicted,1,
CNTN2,EFNB3,0.00174667,Predicted,1,
CNTN2,PROX1,0.000425584,Predicted,1,
CNTN2,TMEFF2,0.000945031,Predicted,1,
CNTN2,GLRB,0.002657277,Predicted,1,
CNTN2,XKR6,0.001408933,Predicted,1,
PAQR8,PCDH9,0.0757607,Predicted,1,
PAQR8,DNM3,0.002565304,Predicted,1,
PAQR8,ANK2,0.000938089,Predicted,1,
PAQR8,ENPP2,0.00326612,Predicted,1,
PAQR8,TMEFF2,0.001789981,Predicted,1,
PAQR8,GLRB,0.00244252,Predicted,1,
PAQR8,XKR6,0.002212582,Predicted,1,
PAQR8,CNTN2,0.001282389,Predicted,1,
UNC13C,DNM3,0.003558078,Predicted,1,
UNC13C,GLRB,0.004702278,Predicted,1,
UNC13C,XKR6,0.002623928,Predicted,1,
UNC13C,CNTN2,0.002565411,Predicted,1,
CLU,PDE4B,0.0018138,Predicted,1,
CLU,ENPP2,0.001304031,Predicted,1,
CLU,PROX1,0.000415448,Predicted,1,
CLU,HSPA12A,0.001682389,Predicted,1,
AATK,DNM3,0.001853225,Predicted,1,
AATK,ANK2,0.000486346,Predicted,1,
AATK,ZEB2,0.00182219,Predicted,1,
AATK,PDE4B,0.001064765,Predicted,1,
AATK,ENPP2,0.002063324,Predicted,1,
AATK,TMEFF2,0.001648103,Predicted,1,
AATK,HSPA12A,0.001626328,Predicted,1,
AATK,GLRB,0.001471624,Predicted,1,
AATK,XKR6,0.001432944,Predicted,1,
AATK,CNTN2,0.000891638,Predicted,1,
AATK,PAQR8,0.001260482,Predicted,1,
AATK,UNC13C,0.001784368,Predicted,1,
AATK,CLU,0.000662978,Predicted,1,
NEFL,ANK2,0.001073555,Predicted,1,
NEFL,PROX1,0.000395667,Predicted,1,
NEFL,HSPA12A,0.00254035,Predicted,1,
NEFL,CNTN2,0.000800037,Predicted,1,
NEFL,CLU,0.00075985,Predicted,1,
NEFL,AATK,0.000624865,Predicted,1,
NACC2,DNM3,0.00198755,Predicted,1,
NACC2,ZEB2,0.003655867,Predicted,1,
NACC2,ENPP2,0.002631445,Predicted,1,
NACC2,TMEFF2,0.001478759,Predicted,1,
NACC2,HSPA12A,0.003004635,Predicted,1,
NACC2,PAQR8,0.002496514,Predicted,1,
NACC2,CLU,0.000705504,Predicted,1,
NACC2,AATK,0.00196909,Predicted,1,
NACC2,NEFL,0.000939766,Predicted,1,
ZEB2,ERBIN,0.010855233,Predicted,1,
ARVCF,ERBIN,0.012438176,Predicted,1,
HSPA12A,ANK2,0.3503753,Predicted,1,
LRRC1,ARVCF,0.030638812,Predicted,1,
CNTN2,ANK2,0.1134677,Predicted,1,
CNTN2,HSPA12A,0.16482142,Predicted,1,
EPHA6,RYR3,0.015378539,Co-expression,2,
HIVEP2,EPHA6,0.0077638,Co-expression,2,
R3HDM1,DMD,0.007262268,Co-expression,2,
PLK2,EPHA6,0.008549662,Co-expression,2,
PLK2,HIVEP2,0.006222932,Co-expression,2,
GRIN2A,EPHA6,0.013772448,Co-expression,2,
GRIN2A,HIVEP2,0.010325667,Co-expression,2,
GRIA1,RYR3,0.026140226,Co-expression,2,
GRIA1,EPHA6,0.01704551,Co-expression,2,
GRIA1,HIVEP2,0.011414218,Co-expression,2,
HCN1,EPHA6,0.009221893,Co-expression,2,
HCN1,HIVEP2,0.007368396,Co-expression,2,
HCN1,GRIN2A,0.014012591,Co-expression,2,
HCN1,GRIA1,0.015799025,Co-expression,2,
BAIAP2,PLK2,0.014580006,Co-expression,2,
BAIAP2,SKI,0.012962274,Co-expression,2,
ATP2A2,R3HDM1,0.003562784,Co-expression,2,
BCL11B,RYR3,0.014070367,Co-expression,2,
ROBO2,ATP2B1,0.012679312,Co-expression,2,
MEIS2,ATP2B1,0.011248426,Co-expression,2,
R3HDM1,HIVEP2,0.019065585,Co-expression,2,
GRIN2A,FAM19A1,0.011715901,Co-expression,2,
GRIN2A,EPHA6,0.019888576,Co-expression,2,
GRIA1,SORCS3,0.006728619,Co-expression,2,
GRIA1,EPHA6,0.012296556,Co-expression,2,
ADGRB2,SORCS3,0.003562756,Co-expression,2,
ADGRB2,EPHA6,0.005341683,Co-expression,2,
ADGRB2,HIVEP2,0.005465432,Co-expression,2,
ADGRB2,R3HDM1,0.00643422,Co-expression,2,
ADGRB2,GRIA1,0.004699288,Co-expression,2,
SSTR2,FAM19A1,0.015319346,Co-expression,2,
SSTR2,KCNH7,0.021268655,Co-expression,2,
DRP2,FKBP1B,0.010042326,Co-expression,2,
BAIAP2,ADGRB2,0.004253803,Co-expression,2,
ATP2A2,CACNA1C,0.025336327,Co-expression,2,
KCNH7,HS6ST3,0.015503447,Co-expression,2,
CNTNAP2,RYR3,0.023291465,Co-expression,2,
R3HDM1,EPHA6,0.003965023,Co-expression,2,
PLK2,BCL11A,0.012543147,Co-expression,2,
GRIN2A,EPHA6,0.007603714,Co-expression,2,
CACNA1C,PLK2,0.006802681,Co-expression,2,
ITPR3,RUNX2,0.020193264,Co-expression,2,
SKI,ZEB2,0.007393745,Co-expression,2,
SKI,MEIS2,0.008547304,Co-expression,2,
R3HDM1,HIVEP2,0.00995622,Co-expression,2,
PLK2,R3HDM1,0.00806062,Co-expression,2,
GRIN2A,HIVEP2,0.015484496,Co-expression,2,
GRIA1,RYR3,0.012115515,Co-expression,2,
GRIA1,EPHA6,0.011929319,Co-expression,2,
SKI,HIVEP2,0.013791563,Co-expression,2,
SKI,PLK2,0.009707721,Co-expression,2,
BAIAP2,R3HDM1,0.013010953,Co-expression,2,
BAIAP2,PLK2,0.011575977,Co-expression,2,
ATP2A2,CACNA1C,0.011490061,Co-expression,2,
SORCS3,SATB2,0.015307937,Co-expression,2,
RYR3,KCNH7,0.010203475,Co-expression,2,
EPHA6,GALNTL6,0.018395469,Co-expression,2,
GRIN2A,SATB2,0.011712455,Co-expression,2,
GRIA1,FAM19A1,0.007008124,Co-expression,2,
ADGRB2,FAM19A1,0.004251583,Co-expression,2,
ADGRB2,ATP2B1,0.006436668,Co-expression,2,
ADGRB2,HIVEP2,0.005124019,Co-expression,2,
ADGRB2,R3HDM1,0.006982532,Co-expression,2,
HCN1,PEX5L,0.012624984,Co-expression,2,
HCN1,CNTNAP2,0.012759416,Co-expression,2,
FKBP1B,FAM19A1,0.010606813,Co-expression,2,
FKBP1B,ADGRB2,0.006457406,Co-expression,2,
NR2E1,HCN1,0.010782184,Co-expression,2,
DRP2,GRIN2A,0.008671188,Co-expression,2,
ITPR3,CEP152,0.012484605,Co-expression,2,
AKAP6,GRIN2A,0.008133804,Co-expression,2,
AKAP6,DRP2,0.022264821,Co-expression,2,
ROBO2,ZEB2,0.011172698,Co-expression,2,
R3HDM1,ATP2B1,0.014735704,Co-expression,2,
R3HDM1,ROBO2,0.010661383,Co-expression,2,
SNTB1,HIVEP2,0.021668088,Co-expression,2,
SSTR2,HUNK,0.010313134,Co-expression,2,
CACNA1C,GRIA1,0.006575576,Co-expression,2,
DRP2,ISL1,0.021524206,Co-expression,2,
ITPR3,ATP2B1,0.00549007,Co-expression,2,
RUNX2,EPHA6,0.008916158,Co-expression,2,
GRIN2A,RYR3,0.017949877,Co-expression,2,
FKBP1B,MEIS2,0.010591506,Co-expression,2,
SORCS3,FAM19A1,0.016331496,Co-expression,2,
EPHA6,PEX5L,0.010720996,Co-expression,2,
EPHA6,HS6ST3,0.006596624,Co-expression,2,
GRIA1,ATP2B1,0.005805914,Co-expression,2,
ADGRB2,GRIA1,0.003096826,Co-expression,2,
FKBP1B,ADGRB2,0.008589008,Co-expression,2,
CEP152,BCL11A,0.016843414,Co-expression,2,
ISL1,NR2E1,0.014019361,Co-expression,2,
GCG,SATB2,0.010057875,Co-expression,2,
BAIAP2,GRIA1,0.00727582,Co-expression,2,
DMD,MEIS2,0.01965346,Co-expression,2,
PLK2,BCL11B,0.006969517,Co-expression,2,
PLK2,EPHA6,0.013129532,Co-expression,2,
FKBP1B,MEIS2,0.014384773,Co-expression,2,
ROBO2,ZEB2,0.015958806,Co-expression,2,
GRIA1,DMD,0.007064686,Co-expression,2,
FKBP1B,HCN1,0.00864894,Co-expression,2,
SSTR2,HUNK,0.013866196,Co-expression,2,
CACNA1C,HUNK,0.0141125,Co-expression,2,
DRP2,ISL1,0.014710974,Co-expression,2,
SKI,ACAP2,0.011726467,Co-expression,2,
KCNH7,HS6ST3,0.005294307,Co-localization,2,
SORCS3,KCNH7,0.006016343,Co-localization,2,
CNTNAP2,HS6ST3,0.003847352,Co-localization,2,
CNTNAP2,KCNH7,0.008245815,Co-localization,2,
ROBO2,KCNH7,0.015952937,Co-localization,2,
EPHA6,HS6ST3,0.005870041,Co-localization,2,
EPHA6,KCNH7,0.013814657,Co-localization,2,
HCN1,HS6ST3,0.004845751,Co-localization,2,
HCN1,CNTNAP2,0.007644024,Co-localization,2,
SSTR2,R3HDM1,0.023632225,Co-localization,2,
SSTR2,PLK2,0.022297028,Co-localization,2,
AKAP6,CNTNAP2,0.010527451,Co-localization,2,
ROBO2,ADGRL2,0.010937671,Co-localization,2,
DMD,KCNH7,0.021016255,Co-localization,2,
R3HDM1,DMD,0.011078619,Co-localization,2,
GRIA1,SORCS3,0.012096902,Co-localization,2,
CACNA1C,ARL15,0.008685691,Co-localization,2,
ISL1,MEIS2,0.010359855,Co-localization,2,
GCG,ISL1,0.008573665,Co-localization,2,
AKAP6,BCL11A,0.009883145,Co-localization,2,
AKAP6,DRP2,0.01121954,Co-localization,2,
SNTB2,ATP2B1,0.023555132,Co-localization,2,
ATP2A2,PEX5L,0.008983756,Co-localization,2,
BCL11B,BCL11A,0.019189334,Other,2,
NR2F6,GRIA1,0.024491688,Other,2,
SKI,RUNX2,0.001970679,Other,2,
SKI,PLK2,0.007946034,Other,2,
SNTB2,HCN1,0.018677354,Other,2,
ATP2A2,ATP2B1,0.034502827,Other,2,
RUNX2,SATB2,0.10002897,Physical Interactions,2,
GRIA1,GRIN2A,0.09246135,Physical Interactions,2,
HCN1,PEX5L,0.70710677,Physical Interactions,2,
SNTB1,DMD,0.32367685,Physical Interactions,2,
NR2E1,BCL11A,0.48627824,Physical Interactions,2,
ITPR3,ATP2B1,0.40841925,Physical Interactions,2,
SKI,SATB2,0.4222869,Physical Interactions,2,
SNTB2,DMD,0.24287726,Physical Interactions,2,
ATP2A2,ATP2B1,0.366788,Physical Interactions,2,
RUNX2,SATB2,0.104881495,Physical Interactions,2,
GRIA1,GRIN2A,0.086318605,Physical Interactions,2,
HCN1,PEX5L,0.45508987,Physical Interactions,2,
SNTB1,DMD,0.29908487,Physical Interactions,2,
NR2E1,BCL11A,0.6343524,Physical Interactions,2,
ITPR3,ATP2B1,0.46695918,Physical Interactions,2,
SKI,SATB2,0.43893033,Physical Interactions,2,
SNTB2,DMD,0.29908487,Physical Interactions,2,
ATP2A2,ATP2B1,0.45441085,Physical Interactions,2,
RUNX2,SATB2,0.10090221,Physical Interactions,2,
GRIA1,GRIN2A,0.05202092,Physical Interactions,2,
HCN1,PEX5L,0.76536685,Physical Interactions,2,
SNTB1,DMD,0.1526022,Physical Interactions,2,
NR2E1,BCL11A,0.39441746,Physical Interactions,2,
ITPR3,ATP2B1,0.3647877,Physical Interactions,2,
SKI,SATB2,0.35010743,Physical Interactions,2,
SNTB2,DMD,0.0944167,Physical Interactions,2,
ATP2A2,ATP2B1,0.38365424,Physical Interactions,2,
BCL11B,BCL11A,0.28994867,Predicted,2,
ADGRB2,ADGRL2,0.19173215,Predicted,2,
FKBP1B,RYR3,0.22168215,Predicted,2,
CEP152,CNTNAP2,0.1901295,Predicted,2,
PLAA,RUNX2,0.18924771,Predicted,2,
SNTB1,DMD,0.11273943,Predicted,2,
URB2,ACAP2,0.14148442,Predicted,2,
SSTR2,ADGRL2,0.1338643,Predicted,2,
SSTR2,ADGRB2,0.03689661,Predicted,2,
CACNA1C,RYR3,0.1376194,Predicted,2,
CACNA1C,FKBP1B,0.2407615,Predicted,2,
ISL1,BCL11A,0.10848565,Predicted,2,
ISL1,BCL11B,0.05289444,Predicted,2,
DRP2,DMD,0.13927642,Predicted,2,
DRP2,SNTB1,0.13608313,Predicted,2,
NR2F6,BCL11A,0.10443537,Predicted,2,
NR2F6,BCL11B,0.050921336,Predicted,2,
NR2F6,ISL1,0.017323012,Predicted,2,
SKI,RUNX2,0.013516112,Predicted,2,
GCG,ROBO2,0.14381024,Predicted,2,
BAIAP2,ADGRL2,0.106442824,Predicted,2,
BAIAP2,ADGRB2,0.029338831,Predicted,2,
BAIAP2,SSTR2,0.020483676,Predicted,2,
AKAP6,RYR3,0.09812183,Predicted,2,
AKAP6,FKBP1B,0.17166069,Predicted,2,
AKAP6,CACNA1C,0.10656541,Predicted,2,
SNTB2,DMD,0.06390697,Predicted,2,
SNTB2,SNTB1,0.09220218,Predicted,2,
SNTB2,DRP2,0.1381681,Predicted,2,
RUNX2,HS6ST3,0.018198632,Predicted,2,
MEIS2,ATP2B1,0.006749239,Predicted,2,
MEIS2,KCNH7,0.008234535,Predicted,2,
DMD,EPHA6,0.017977858,Predicted,2,
DMD,MEIS2,0.010482958,Predicted,2,
PLK2,SORCS3,0.010973945,Predicted,2,
GRIN2A,KCNH7,0.018778084,Predicted,2,
GRIN2A,MEIS2,0.008234535,Predicted,2,
NR2E1,ROBO2,0.018360617,Predicted,2,
CACNA1C,ATP2B1,0.00694293,Predicted,2,
CACNA1C,HS6ST3,0.009724896,Predicted,2,
CACNA1C,RUNX2,0.008774334,Predicted,2,
KCNH7,HS6ST3,0.003937719,Predicted,2,
SORCS3,HS6ST3,0.002055469,Predicted,2,
SORCS3,KCNH7,0.002185151,Predicted,2,
CNTNAP2,HS6ST3,0.002387638,Predicted,2,
CNTNAP2,KCNH7,0.002283562,Predicted,2,
CNTNAP2,SORCS3,0.002444651,Predicted,2,
BCL11B,BCL11A,0.001579519,Predicted,2,
ROBO2,KCNH7,0.001313611,Predicted,2,
ROBO2,ZEB2,0.002510522,Predicted,2,
EPHA6,KCNH7,0.006025777,Predicted,2,
HIVEP2,KCNH7,0.002041007,Predicted,2,
RUNX2,BCL11A,0.000477549,Predicted,2,
RUNX2,BCL11B,0.000510589,Predicted,2,
RUNX2,ROBO2,0.000513804,Predicted,2,
DMD,ROBO2,0.000564538,Predicted,2,
DMD,RUNX2,0.00064061,Predicted,2,
R3HDM1,KCNH7,0.001689099,Predicted,2,
R3HDM1,HIVEP2,0.003142743,Predicted,2,
PLK2,ARL15,0.002469914,Predicted,2,
PLK2,BCL11B,0.000430695,Predicted,2,
PLK2,HIVEP2,0.00070088,Predicted,2,
PLK2,RUNX2,0.00032005,Predicted,2,
PLK2,DMD,0.000287997,Predicted,2,
PLK2,R3HDM1,0.000678838,Predicted,2,
GRIN2A,ROBO2,0.001496605,Predicted,2,
GRIN2A,DMD,0.001148849,Predicted,2,
GRIA1,HS6ST3,0.001398747,Predicted,2,
GRIA1,KCNH7,0.001104371,Predicted,2,
GRIA1,SORCS3,0.001398624,Predicted,2,
GRIA1,CNTNAP2,0.000964011,Predicted,2,
GRIA1,ROBO2,0.000921812,Predicted,2,
HCN1,HS6ST3,0.001408522,Predicted,2,
HCN1,KCNH7,0.00137806,Predicted,2,
HCN1,SORCS3,0.000973201,Predicted,2,
HCN1,CNTNAP2,0.002794482,Predicted,2,
HCN1,DMD,0.000565424,Predicted,2,
HCN1,GRIN2A,0.00105773,Predicted,2,
HCN1,GRIA1,0.001647187,Predicted,2,
NR2E1,ROBO2,0.001514854,Predicted,2,
NR2E1,RUNX2,0.00096995,Predicted,2,
NR2E1,DMD,0.000870755,Predicted,2,
NR2E1,PLK2,0.000630781,Predicted,2,
NR2E1,GRIA1,0.001202395,Predicted,2,
CACNA1C,ATP2B1,0.003273813,Predicted,2,
CACNA1C,ROBO2,0.001507432,Predicted,2,
CACNA1C,RUNX2,0.000794006,Predicted,2,
CACNA1C,DMD,0.000589068,Predicted,2,
ISL1,RUNX2,0.001656413,Predicted,2,
NR2F6,GRIN2A,0.001452754,Predicted,2,
NR2F6,GRIA1,0.001681085,Predicted,2,
NR2F6,HCN1,0.00080811,Predicted,2,
ITPR3,RUNX2,0.000508906,Predicted,2,
ITPR3,DMD,0.000719401,Predicted,2,
SKI,ATP2B1,0.001295294,Predicted,2,
SKI,BCL11A,0.000455468,Predicted,2,
SKI,BCL11B,0.000667777,Predicted,2,
SKI,ROBO2,0.000503705,Predicted,2,
SKI,RUNX2,0.000675733,Predicted,2,
SKI,DMD,0.000710893,Predicted,2,
SKI,PLK2,0.000420693,Predicted,2,
SKI,GRIN2A,0.000541615,Predicted,2,
SKI,NR2E1,0.000706172,Predicted,2,
SKI,CACNA1C,0.000623579,Predicted,2,
SKI,ISL1,0.002272468,Predicted,2,
GCG,PLK2,0.001618423,Predicted,2,
AKAP6,HS6ST3,0.001265542,Predicted,2,
AKAP6,KCNH7,0.000942813,Predicted,2,
AKAP6,SORCS3,0.001115182,Predicted,2,
AKAP6,BCL11A,0.000534503,Predicted,2,
AKAP6,CNTNAP2,0.001321789,Predicted,2,
AKAP6,HIVEP2,0.001766932,Predicted,2,
AKAP6,HCN1,0.000981727,Predicted,2,
SNTB2,ROBO2,0.001161641,Predicted,2,
