Gene 1,Gene 2,Weight,Network group,Network,cluster
SYT1,ERC2,0.022274759,Co-expression,Burington-Shaughnessy-2008,1
DLG2,GRIA2,0.017252725,Co-expression,Burington-Shaughnessy-2008,1
ERC2,NRXN3,0.018293086,Co-expression,Mallon-McKay-2013,1
ENPP2,CSMD3,0.008485624,Co-expression,Mallon-McKay-2013,1
GRIA1,GRIA3,0.026301395,Co-expression,Mallon-McKay-2013,1
SYT1,GRIA1,0.014985045,Co-expression,Mallon-McKay-2013,1
DLG2,ERC2,0.022764025,Co-expression,Mallon-McKay-2013,1
GRIN2B,GRIA1,0.012621141,Co-expression,Mallon-McKay-2013,1
NRXN1,ERC2,0.011627777,Co-expression,Mallon-McKay-2013,1
FOXP1,FOXP2,0.01760115,Co-expression,Mallon-McKay-2013,1
CACNG2,GRIN2B,0.011278468,Co-expression,Mallon-McKay-2013,1
ZEB2,CELF2,0.015208237,Co-expression,Chen-Brown-2002,1
CADPS,ERC2,0.009211877,Co-expression,Chen-Brown-2002,1
GRIA2,ERC2,0.010559771,Co-expression,Chen-Brown-2002,1
GRIA2,CADPS,0.018274508,Co-expression,Chen-Brown-2002,1
CASK,APOE,0.009373872,Co-expression,Chen-Brown-2002,1
ZEB2,CELF2,0.025088632,Co-expression,Wu-Garvey-2007,1
HTR2C,ERC2,0.005063918,Co-expression,Wu-Garvey-2007,1
NLGN1,ERC2,0.005043093,Co-expression,Wu-Garvey-2007,1
NLGN1,HTR2C,0.006062548,Co-expression,Wu-Garvey-2007,1
SP4,CASK,0.008023134,Co-expression,Wu-Garvey-2007,1
GRIN2B,GRIA3,0.01601807,Co-expression,Wu-Garvey-2007,1
CADPS,NLGN1,0.022131467,Co-expression,Innocenti-Brown-2011,1
GRIA2,ERC2,0.02269793,Co-expression,Innocenti-Brown-2011,1
SYT1,DDX5,0.015947036,Co-expression,Perou-Botstein-1999,1
RPIA,CASK,0.02085025,Co-expression,Perou-Botstein-1999,1
DDX5,CELF2,0.006357954,Co-expression,Ramaswamy-Golub-2001,1
DDX5,R3HDM1,0.004560723,Co-expression,Ramaswamy-Golub-2001,1
DLG2,CADPS,0.013430147,Co-expression,Ramaswamy-Golub-2001,1
SP4,HTR2C,0.016120674,Co-expression,Ramaswamy-Golub-2001,1
ZEB2,BCL11A,0.007898264,Co-expression,Wang-Cheung-2015,1
SYT1,NLGN1,0.015147598,Co-expression,Wang-Cheung-2015,1
RPIA,CRKL,0.01357627,Co-expression,Wang-Cheung-2015,1
GRIA2,BNC2,0.005691978,Co-expression,Dobbin-Giordano-2005,1
DAB1,GRIA1,0.007990729,Co-expression,Dobbin-Giordano-2005,1
KCNMA1,GRIA2,0.011639435,Co-expression,Dobbin-Giordano-2005,1
GRIN2A,GRIA1,0.032098006,Co-expression,Dobbin-Giordano-2005,1
GRIN2A,DAB1,0.007786136,Co-expression,Dobbin-Giordano-2005,1
SP4,CADPS,0.0268051,Co-expression,Dobbin-Giordano-2005,1
GRIN2B,DAB1,0.007810518,Co-expression,Dobbin-Giordano-2005,1
NLGN3,GRIA3,0.016551627,Co-expression,Dobbin-Giordano-2005,1
GRIP1,DAB1,0.002189966,Co-expression,Dobbin-Giordano-2005,1
RBFOX1,ERC2,0.017071607,Co-expression,Smirnov-Cheung-2009,1
GRIN2A,GRIA2,0.015563036,Co-expression,Smirnov-Cheung-2009,1
GRIA4,NLGN1,0.029977722,Co-expression,Smirnov-Cheung-2009,1
ZEB2,CELF2,0.008987763,Co-expression,Bild-Nevins-2006 B,1
ENPP2,CELF2,0.009682457,Co-expression,Bild-Nevins-2006 B,1
GRIN2A,PCDH9,0.004451884,Co-expression,Bild-Nevins-2006 B,1
GRIN2A,HTR2C,0.004718461,Co-expression,Bild-Nevins-2006 B,1
GRIN2A,NLGN1,0.002629474,Co-expression,Bild-Nevins-2006 B,1
DMD,ENPP2,0.00788874,Co-expression,Bild-Nevins-2006 B,1
RPIA,R3HDM1,0.009356259,Co-expression,Bild-Nevins-2006 B,1
RPIA,BCL11A,0.012656869,Co-expression,Bild-Nevins-2006 B,1
GRIN2B,GRIN2A,0.003053987,Co-expression,Bild-Nevins-2006 B,1
NRXN1,NLGN1,0.007290186,Co-expression,Bild-Nevins-2006 B,1
GRIP1,GRIN2A,0.00453364,Co-expression,Bild-Nevins-2006 B,1
BCL11A,CELF2,0.02160619,Co-localization,Johnson-Shoemaker-2003,1
BCL11A,R3HDM1,0.018994918,Co-localization,Johnson-Shoemaker-2003,1
GRIA3,NRXN3,0.013397565,Co-localization,Johnson-Shoemaker-2003,1
GRIA1,CELF2,0.016446078,Co-localization,Johnson-Shoemaker-2003,1
GRIA2,NRXN3,0.017990466,Co-localization,Johnson-Shoemaker-2003,1
GRIA2,GRIA3,0.007140839,Co-localization,Johnson-Shoemaker-2003,1
GRIA2,GRIA1,0.009917008,Co-localization,Johnson-Shoemaker-2003,1
DAB1,GRIA1,0.017729484,Co-localization,Johnson-Shoemaker-2003,1
SYT1,CELF2,0.005172818,Co-localization,Johnson-Shoemaker-2003,1
SYT1,NRXN3,0.006365275,Co-localization,Johnson-Shoemaker-2003,1
SYT1,GRIA3,0.002695225,Co-localization,Johnson-Shoemaker-2003,1
SYT1,CADPS,0.005565133,Co-localization,Johnson-Shoemaker-2003,1
SYT1,RBFOX1,0.00218171,Co-localization,Johnson-Shoemaker-2003,1
SYT1,GRIA2,0.003145014,Co-localization,Johnson-Shoemaker-2003,1
DLG2,NLGN1,0.012383396,Co-localization,Johnson-Shoemaker-2003,1
DLG2,DAB1,0.010900431,Co-localization,Johnson-Shoemaker-2003,1
DLG2,SYT1,0.002567886,Co-localization,Johnson-Shoemaker-2003,1
GRIN2A,SYT1,0.006585532,Co-localization,Johnson-Shoemaker-2003,1
GRIA4,ZIC1,0.011124021,Co-localization,Johnson-Shoemaker-2003,1
GRIN2B,GRIA1,0.016678855,Co-localization,Johnson-Shoemaker-2003,1
GRIN2B,SYT1,0.004813721,Co-localization,Johnson-Shoemaker-2003,1
NRXN1,DAB1,0.022453291,Co-localization,Johnson-Shoemaker-2003,1
NRXN1,SYT1,0.004522031,Co-localization,Johnson-Shoemaker-2003,1
CACNG2,NRXN3,0.013422737,Co-localization,Johnson-Shoemaker-2003,1
CACNG2,NLGN1,0.011915587,Co-localization,Johnson-Shoemaker-2003,1
CACNG2,CADPS,0.011981583,Co-localization,Johnson-Shoemaker-2003,1
CACNG2,SYT1,0.002621762,Co-localization,Johnson-Shoemaker-2003,1
CACNG2,NRXN1,0.009646948,Co-localization,Johnson-Shoemaker-2003,1
NLGN3,GRIA2,0.01563167,Co-localization,Johnson-Shoemaker-2003,1
NSF,NRXN3,0.007007708,Co-localization,Johnson-Shoemaker-2003,1
NSF,GRIA1,0.003734535,Co-localization,Johnson-Shoemaker-2003,1
NSF,RBFOX1,0.002447994,Co-localization,Johnson-Shoemaker-2003,1
NSF,GRIA2,0.003626019,Co-localization,Johnson-Shoemaker-2003,1
NSF,SYT1,0.001454467,Co-localization,Johnson-Shoemaker-2003,1
NSF,DLG2,0.0028295,Co-localization,Johnson-Shoemaker-2003,1
NSF,GRIN2A,0.007447469,Co-localization,Johnson-Shoemaker-2003,1
NSF,GRIN2B,0.005619782,Co-localization,Johnson-Shoemaker-2003,1
NSF,CACNG2,0.002724493,Co-localization,Johnson-Shoemaker-2003,1
GRIA3,HTR2C,0.0073143,Co-localization,Schadt-Shoemaker-2004,1
GRIA2,HTR2C,0.009133314,Co-localization,Schadt-Shoemaker-2004,1
GRIA2,GRIA3,0.006349907,Co-localization,Schadt-Shoemaker-2004,1
DLG2,GRIA3,0.008595448,Co-localization,Schadt-Shoemaker-2004,1
DLG2,GRIA2,0.009052143,Co-localization,Schadt-Shoemaker-2004,1
GRIN2A,HTR2C,0.011139345,Co-localization,Schadt-Shoemaker-2004,1
GRIN2A,GRIA3,0.006774585,Co-localization,Schadt-Shoemaker-2004,1
GRIN2A,GRIA2,0.007884022,Co-localization,Schadt-Shoemaker-2004,1
GRIN2A,DLG2,0.010683266,Co-localization,Schadt-Shoemaker-2004,1
GRIA4,HTR2C,0.009186474,Co-localization,Schadt-Shoemaker-2004,1
GRIA4,GRIA3,0.00588591,Co-localization,Schadt-Shoemaker-2004,1
GRIA4,GRIA2,0.007023969,Co-localization,Schadt-Shoemaker-2004,1
GRIA4,DLG2,0.009274319,Co-localization,Schadt-Shoemaker-2004,1
GRIA4,GRIN2A,0.008119324,Co-localization,Schadt-Shoemaker-2004,1
GRIN2B,HTR2C,0.008955085,Co-localization,Schadt-Shoemaker-2004,1
GRIN2B,GRIA3,0.005798001,Co-localization,Schadt-Shoemaker-2004,1
GRIN2B,GRIA2,0.006316649,Co-localization,Schadt-Shoemaker-2004,1
GRIN2B,DLG2,0.008938012,Co-localization,Schadt-Shoemaker-2004,1
GRIN2B,GRIN2A,0.00790861,Co-localization,Schadt-Shoemaker-2004,1
GRIN2B,GRIA4,0.006422703,Co-localization,Schadt-Shoemaker-2004,1
BNC2,FOXP2,0.000577984,Genetic Interactions,Lin-Smith-2010,1
PCDH9,MSI2,0.000354433,Genetic Interactions,Lin-Smith-2010,1
CELF2,CSMD3,0.000283832,Genetic Interactions,Lin-Smith-2010,1
CELF2,BNC2,0.000226051,Genetic Interactions,Lin-Smith-2010,1
CELF2,PCDH9,0.00021119,Genetic Interactions,Lin-Smith-2010,1
R3HDM1,CSMD3,0.000690233,Genetic Interactions,Lin-Smith-2010,1
R3HDM1,CELF2,0.000301267,Genetic Interactions,Lin-Smith-2010,1
BCL11A,BNC2,0.000296892,Genetic Interactions,Lin-Smith-2010,1
BCL11A,RPL13,0.000315782,Genetic Interactions,Lin-Smith-2010,1
BCL11A,CELF2,0.000162708,Genetic Interactions,Lin-Smith-2010,1
CADM1,MSI2,0.000278822,Genetic Interactions,Lin-Smith-2010,1
CADM1,CSMD3,0.000380637,Genetic Interactions,Lin-Smith-2010,1
CADM1,RPL13,0.000322438,Genetic Interactions,Lin-Smith-2010,1
CADM1,R3HDM1,0.00040402,Genetic Interactions,Lin-Smith-2010,1
NRXN3,RPL13,0.000306686,Genetic Interactions,Lin-Smith-2010,1
NRXN3,PCDH9,0.000269385,Genetic Interactions,Lin-Smith-2010,1
NRXN3,CELF2,0.000158021,Genetic Interactions,Lin-Smith-2010,1
NRXN3,BCL11A,0.000207543,Genetic Interactions,Lin-Smith-2010,1
ZEB2,CSMD3,0.000337527,Genetic Interactions,Lin-Smith-2010,1
ZEB2,BNC2,0.000268815,Genetic Interactions,Lin-Smith-2010,1
ZEB2,RPL13,0.000285919,Genetic Interactions,Lin-Smith-2010,1
DDX5,ZEB2,0.000584231,Genetic Interactions,Lin-Smith-2010,1
GRIA3,R3HDM1,0.000812238,Genetic Interactions,Lin-Smith-2010,1
GRIA3,DDX5,0.001324549,Genetic Interactions,Lin-Smith-2010,1
ENPP2,RPL13,0.000555817,Genetic Interactions,Lin-Smith-2010,1
ENPP2,CELF2,0.000286387,Genetic Interactions,Lin-Smith-2010,1
ENPP2,ZEB2,0.000340566,Genetic Interactions,Lin-Smith-2010,1
NLGN1,BNC2,0.000375192,Genetic Interactions,Lin-Smith-2010,1
NLGN1,BCL11A,0.000270058,Genetic Interactions,Lin-Smith-2010,1
NLGN1,NRXN3,0.000262279,Genetic Interactions,Lin-Smith-2010,1
NLGN1,ZEB2,0.000244519,Genetic Interactions,Lin-Smith-2010,1
NLGN1,GRIA3,0.000554365,Genetic Interactions,Lin-Smith-2010,1
NLGN1,ENPP2,0.000475336,Genetic Interactions,Lin-Smith-2010,1
CADPS,BNC2,0.000239323,Genetic Interactions,Lin-Smith-2010,1
CADPS,RPL13,0.00025455,Genetic Interactions,Lin-Smith-2010,1
CADPS,PCDH9,0.00022359,Genetic Interactions,Lin-Smith-2010,1
CADPS,CELF2,0.000131158,Genetic Interactions,Lin-Smith-2010,1
CADPS,BCL11A,0.000172261,Genetic Interactions,Lin-Smith-2010,1
CADPS,NRXN3,0.000167299,Genetic Interactions,Lin-Smith-2010,1
CADPS,ZEB2,0.000155971,Genetic Interactions,Lin-Smith-2010,1
GRIA1,MSI2,0.000282377,Genetic Interactions,Lin-Smith-2010,1
GRIA1,BNC2,0.000307014,Genetic Interactions,Lin-Smith-2010,1
GRIA1,PCDH9,0.000286831,Genetic Interactions,Lin-Smith-2010,1
GRIA1,CELF2,0.000168256,Genetic Interactions,Lin-Smith-2010,1
GRIA1,CADM1,0.000225642,Genetic Interactions,Lin-Smith-2010,1
GRIA1,ZIC1,0.000647535,Genetic Interactions,Lin-Smith-2010,1
GRIA1,GRIA3,0.000453629,Genetic Interactions,Lin-Smith-2010,1
GRIA1,CADPS,0.000178134,Genetic Interactions,Lin-Smith-2010,1
APOE,GRIA1,0.001923579,Genetic Interactions,Lin-Smith-2010,1
RBFOX1,CSMD3,0.000273133,Genetic Interactions,Lin-Smith-2010,1
RBFOX1,BNC2,0.00021753,Genetic Interactions,Lin-Smith-2010,1
RBFOX1,PCDH9,0.00020323,Genetic Interactions,Lin-Smith-2010,1
RBFOX1,R3HDM1,0.000289912,Genetic Interactions,Lin-Smith-2010,1
RBFOX1,BCL11A,0.000156575,Genetic Interactions,Lin-Smith-2010,1
RBFOX1,NRXN3,0.000152065,Genetic Interactions,Lin-Smith-2010,1
RBFOX1,ZEB2,0.000141768,Genetic Interactions,Lin-Smith-2010,1
RBFOX1,GRIA3,0.000321412,Genetic Interactions,Lin-Smith-2010,1
RBFOX1,CADPS,0.000126214,Genetic Interactions,Lin-Smith-2010,1
RBFOX1,GRIA1,0.000161913,Genetic Interactions,Lin-Smith-2010,1
GRIA2,MSI2,0.000356946,Genetic Interactions,Lin-Smith-2010,1
GRIA2,PCDH9,0.000362577,Genetic Interactions,Lin-Smith-2010,1
GRIA2,NRXN3,0.000271295,Genetic Interactions,Lin-Smith-2010,1
GRIA2,CADPS,0.000225176,Genetic Interactions,Lin-Smith-2010,1
DAB1,FOXP2,0.000372959,Genetic Interactions,Lin-Smith-2010,1
DAB1,CELF2,0.000145865,Genetic Interactions,Lin-Smith-2010,1
DAB1,R3HDM1,0.00035472,Genetic Interactions,Lin-Smith-2010,1
DAB1,BCL11A,0.000191577,Genetic Interactions,Lin-Smith-2010,1
DAB1,ZEB2,0.00017346,Genetic Interactions,Lin-Smith-2010,1
DAB1,GRIA3,0.000393262,Genetic Interactions,Lin-Smith-2010,1
DAB1,CADPS,0.000154429,Genetic Interactions,Lin-Smith-2010,1
SYT1,MSI2,0.000305205,Genetic Interactions,Lin-Smith-2010,1
SYT1,CELF2,0.000181858,Genetic Interactions,Lin-Smith-2010,1
SYT1,R3HDM1,0.000442249,Genetic Interactions,Lin-Smith-2010,1
SYT1,BCL11A,0.00023885,Genetic Interactions,Lin-Smith-2010,1
SYT1,CADM1,0.000243884,Genetic Interactions,Lin-Smith-2010,1
SYT1,NRXN3,0.00023197,Genetic Interactions,Lin-Smith-2010,1
SYT1,ZEB2,0.000216262,Genetic Interactions,Lin-Smith-2010,1
SYT1,NLGN1,0.000301842,Genetic Interactions,Lin-Smith-2010,1
SYT1,CADPS,0.000192535,Genetic Interactions,Lin-Smith-2010,1
SYT1,RBFOX1,0.000175003,Genetic Interactions,Lin-Smith-2010,1
DLG2,CELF2,0.000120926,Genetic Interactions,Lin-Smith-2010,1
DLG2,R3HDM1,0.000294072,Genetic Interactions,Lin-Smith-2010,1
DLG2,BCL11A,0.000158822,Genetic Interactions,Lin-Smith-2010,1
DLG2,CADM1,0.000162169,Genetic Interactions,Lin-Smith-2010,1
DLG2,NRXN3,0.000154247,Genetic Interactions,Lin-Smith-2010,1
DLG2,ZEB2,0.000143802,Genetic Interactions,Lin-Smith-2010,1
DLG2,ENPP2,0.000279547,Genetic Interactions,Lin-Smith-2010,1
DLG2,NLGN1,0.000200708,Genetic Interactions,Lin-Smith-2010,1
DLG2,CADPS,0.000128025,Genetic Interactions,Lin-Smith-2010,1
DLG2,GRIA1,0.000164237,Genetic Interactions,Lin-Smith-2010,1
DLG2,RBFOX1,0.000116368,Genetic Interactions,Lin-Smith-2010,1
DLG2,GRIA2,0.000207608,Genetic Interactions,Lin-Smith-2010,1
DLG2,DAB1,0.000142381,Genetic Interactions,Lin-Smith-2010,1
DLG2,SYT1,0.000177514,Genetic Interactions,Lin-Smith-2010,1
KCNMA1,MSI2,0.000299283,Genetic Interactions,Lin-Smith-2010,1
KCNMA1,BNC2,0.000325396,Genetic Interactions,Lin-Smith-2010,1
KCNMA1,RPL13,0.0003461,Genetic Interactions,Lin-Smith-2010,1
KCNMA1,CELF2,0.000178329,Genetic Interactions,Lin-Smith-2010,1
KCNMA1,R3HDM1,0.000433669,Genetic Interactions,Lin-Smith-2010,1
KCNMA1,CADM1,0.000239152,Genetic Interactions,Lin-Smith-2010,1
KCNMA1,GRIA1,0.000242201,Genetic Interactions,Lin-Smith-2010,1
KCNMA1,RBFOX1,0.000171608,Genetic Interactions,Lin-Smith-2010,1
KCNMA1,GRIA2,0.00030616,Genetic Interactions,Lin-Smith-2010,1
KCNMA1,SYT1,0.000261781,Genetic Interactions,Lin-Smith-2010,1
KCNMA1,DLG2,0.00017407,Genetic Interactions,Lin-Smith-2010,1
GRIN2A,FOXP2,0.00051094,Genetic Interactions,Lin-Smith-2010,1
GRIN2A,CELF2,0.00019983,Genetic Interactions,Lin-Smith-2010,1
GRIN2A,NLGN1,0.000331671,Genetic Interactions,Lin-Smith-2010,1
GRIN2A,CADPS,0.000211562,Genetic Interactions,Lin-Smith-2010,1
GRIN2A,GRIA1,0.000271402,Genetic Interactions,Lin-Smith-2010,1
GRIN2A,SYT1,0.000293343,Genetic Interactions,Lin-Smith-2010,1
GRIN2A,DLG2,0.000195057,Genetic Interactions,Lin-Smith-2010,1
GRIN2A,KCNMA1,0.000287651,Genetic Interactions,Lin-Smith-2010,1
DMD,MSI2,0.000633788,Genetic Interactions,Lin-Smith-2010,1
DMD,RPL13,0.000732931,Genetic Interactions,Lin-Smith-2010,1
DMD,ZEB2,0.00044909,Genetic Interactions,Lin-Smith-2010,1
DMD,DLG2,0.000368626,Genetic Interactions,Lin-Smith-2010,1
CASK,R3HDM1,0.000952691,Genetic Interactions,Lin-Smith-2010,1
CASK,CADPS,0.000414759,Genetic Interactions,Lin-Smith-2010,1
CASK,DLG2,0.0003824,Genetic Interactions,Lin-Smith-2010,1
DAB2IP,MSI2,0.000387576,Genetic Interactions,Lin-Smith-2010,1
DAB2IP,CSMD3,0.000529104,Genetic Interactions,Lin-Smith-2010,1
DAB2IP,BNC2,0.000421392,Genetic Interactions,Lin-Smith-2010,1
DAB2IP,NRXN3,0.000294575,Genetic Interactions,Lin-Smith-2010,1
DAB2IP,NLGN1,0.000383305,Genetic Interactions,Lin-Smith-2010,1
DAB2IP,CADPS,0.000244498,Genetic Interactions,Lin-Smith-2010,1
DAB2IP,SYT1,0.00033901,Genetic Interactions,Lin-Smith-2010,1
DAB2IP,GRIN2A,0.000372512,Genetic Interactions,Lin-Smith-2010,1
GRIA4,MSI2,0.000340123,Genetic Interactions,Lin-Smith-2010,1
GRIA4,PCDH9,0.000345488,Genetic Interactions,Lin-Smith-2010,1
GRIA4,CELF2,0.000202664,Genetic Interactions,Lin-Smith-2010,1
GRIA4,R3HDM1,0.000492846,Genetic Interactions,Lin-Smith-2010,1
GRIA4,ZEB2,0.000241004,Genetic Interactions,Lin-Smith-2010,1
GRIA4,ZIC1,0.000779957,Genetic Interactions,Lin-Smith-2010,1
GRIA4,NLGN1,0.000336375,Genetic Interactions,Lin-Smith-2010,1
GRIA4,CADPS,0.000214563,Genetic Interactions,Lin-Smith-2010,1
GRIA4,SYT1,0.000297503,Genetic Interactions,Lin-Smith-2010,1
GRIA4,KCNMA1,0.000291731,Genetic Interactions,Lin-Smith-2010,1
GRIA4,GRIN2A,0.000326903,Genetic Interactions,Lin-Smith-2010,1
GRIA4,CASK,0.00064088,Genetic Interactions,Lin-Smith-2010,1
GRIA4,DAB2IP,0.000377796,Genetic Interactions,Lin-Smith-2010,1
CRKL,BNC2,0.000986896,Genetic Interactions,Lin-Smith-2010,1
CRKL,CADM1,0.000725326,Genetic Interactions,Lin-Smith-2010,1
CRKL,NLGN1,0.000897697,Genetic Interactions,Lin-Smith-2010,1
SP4,BNC2,0.000900986,Genetic Interactions,Lin-Smith-2010,1
SP4,RPL13,0.000958313,Genetic Interactions,Lin-Smith-2010,1
SP4,CADM1,0.000662186,Genetic Interactions,Lin-Smith-2010,1
SP4,RBFOX1,0.000475163,Genetic Interactions,Lin-Smith-2010,1
SP4,DLG2,0.000481981,Genetic Interactions,Lin-Smith-2010,1
RPIA,DMD,0.002529526,Genetic Interactions,Lin-Smith-2010,1
GRIN2B,MSI2,0.000350677,Genetic Interactions,Lin-Smith-2010,1
GRIN2B,CELF2,0.000208953,Genetic Interactions,Lin-Smith-2010,1
GRIN2B,R3HDM1,0.00050814,Genetic Interactions,Lin-Smith-2010,1
GRIN2B,CADM1,0.00028022,Genetic Interactions,Lin-Smith-2010,1
GRIN2B,NRXN3,0.000266531,Genetic Interactions,Lin-Smith-2010,1
GRIN2B,ZEB2,0.000248483,Genetic Interactions,Lin-Smith-2010,1
GRIN2B,ENPP2,0.000483042,Genetic Interactions,Lin-Smith-2010,1
GRIN2B,NLGN1,0.000346813,Genetic Interactions,Lin-Smith-2010,1
GRIN2B,CADPS,0.000221221,Genetic Interactions,Lin-Smith-2010,1
GRIN2B,RBFOX1,0.000201077,Genetic Interactions,Lin-Smith-2010,1
GRIN2B,DAB1,0.000246026,Genetic Interactions,Lin-Smith-2010,1
GRIN2B,GRIN2A,0.000337048,Genetic Interactions,Lin-Smith-2010,1
GRIN2B,DAB2IP,0.000389519,Genetic Interactions,Lin-Smith-2010,1
FOXP4,BNC2,0.000950632,Genetic Interactions,Lin-Smith-2010,1
FOXP4,RPL13,0.001011118,Genetic Interactions,Lin-Smith-2010,1
FOXP4,CELF2,0.000520983,Genetic Interactions,Lin-Smith-2010,1
FOXP4,NRXN3,0.000664542,Genetic Interactions,Lin-Smith-2010,1
FOXP4,NLGN1,0.000864711,Genetic Interactions,Lin-Smith-2010,1
FOXP4,CADPS,0.000551572,Genetic Interactions,Lin-Smith-2010,1
FOXP4,RBFOX1,0.000501346,Genetic Interactions,Lin-Smith-2010,1
FOXP4,GRIN2A,0.000840363,Genetic Interactions,Lin-Smith-2010,1
CANX,MSI2,0.000480279,Genetic Interactions,Lin-Smith-2010,1
CANX,CADM1,0.000383782,Genetic Interactions,Lin-Smith-2010,1
CANX,NRXN3,0.000365034,Genetic Interactions,Lin-Smith-2010,1
CANX,CADPS,0.000302979,Genetic Interactions,Lin-Smith-2010,1
CANX,DAB1,0.000336951,Genetic Interactions,Lin-Smith-2010,1
CANX,SYT1,0.000420097,Genetic Interactions,Lin-Smith-2010,1
CANX,GRIA4,0.000468159,Genetic Interactions,Lin-Smith-2010,1
CANX,GRIN2B,0.000482686,Genetic Interactions,Lin-Smith-2010,1
FOXP1,MSI2,0.000202471,Genetic Interactions,Lin-Smith-2010,1
FOXP1,PCDH9,0.000205665,Genetic Interactions,Lin-Smith-2010,1
FOXP1,CELF2,0.000120643,Genetic Interactions,Lin-Smith-2010,1
FOXP1,R3HDM1,0.000293385,Genetic Interactions,Lin-Smith-2010,1
FOXP1,BCL11A,0.000158451,Genetic Interactions,Lin-Smith-2010,1
FOXP1,NRXN3,0.000153887,Genetic Interactions,Lin-Smith-2010,1
FOXP1,ZEB2,0.000143467,Genetic Interactions,Lin-Smith-2010,1
FOXP1,ENPP2,0.000278894,Genetic Interactions,Lin-Smith-2010,1
FOXP1,NLGN1,0.00020024,Genetic Interactions,Lin-Smith-2010,1
FOXP1,GRIA1,0.000163853,Genetic Interactions,Lin-Smith-2010,1
FOXP1,RBFOX1,0.000116096,Genetic Interactions,Lin-Smith-2010,1
FOXP1,GRIA2,0.000207123,Genetic Interactions,Lin-Smith-2010,1
FOXP1,DAB1,0.000142048,Genetic Interactions,Lin-Smith-2010,1
FOXP1,SYT1,0.0001771,Genetic Interactions,Lin-Smith-2010,1
FOXP1,KCNMA1,0.000173664,Genetic Interactions,Lin-Smith-2010,1
FOXP1,GRIN2A,0.000194601,Genetic Interactions,Lin-Smith-2010,1
FOXP1,DMD,0.000367765,Genetic Interactions,Lin-Smith-2010,1
FOXP1,GRIA4,0.000197361,Genetic Interactions,Lin-Smith-2010,1
