Gene 1,Gene 2,Weight,Network group,Network,cluster
NDUFB10,NDUFV1,0.00669936,Co-expression,Ramaswamy-Golub-2001,1
CNIH2,FRRS1L,0.004654741,Co-expression,Noble-Diehl-2008,1
NDUFS3,HIST3H2BB,0.012879134,Co-expression,Noble-Diehl-2008,1
DLG4,CNIH2,0.00714523,Co-expression,Noble-Diehl-2008,1
GAST,CNIH2,0.005385481,Co-expression,Noble-Diehl-2008,1
CSRNP2,DERL2,0.012804703,Co-expression,Noble-Diehl-2008,1
CSRNP2,GABARAPL2,0.012320333,Co-expression,Noble-Diehl-2008,1
HACD1,PCYT1B,0.007172239,Co-expression,Noble-Diehl-2008,1
GPM6B,PLP1,0.011087333,Co-expression,Noble-Diehl-2008,1
CNIH4,HIST3H2BB,0.015103402,Co-expression,Noble-Diehl-2008,1
CNIH4,GABARAPL2,0.009526602,Co-expression,Noble-Diehl-2008,1
NDUFB10,DDRGK1,0.005007787,Co-expression,Noble-Diehl-2008,1
CCK,PCYT1B,0.009014187,Co-expression,Wu-Garvey-2007,1
NDUFS3,NDUFV1,0.007300495,Co-expression,Wu-Garvey-2007,1
CSRNP2,TLK2,0.006863798,Co-expression,Wu-Garvey-2007,1
CNIH1,GABARAPL2,0.005012191,Co-expression,Wu-Garvey-2007,1
GPM6A,PLP1,0.004489905,Co-expression,Wu-Garvey-2007,1
DBH,CCK,0.00504723,Co-expression,Wu-Garvey-2007,1
PLP1,EFNB3,0.00964027,Co-localization,Schadt-Shoemaker-2004,1
PLP1,CCK,0.008534702,Co-localization,Schadt-Shoemaker-2004,1
DLG4,EFNB3,0.011297883,Co-localization,Schadt-Shoemaker-2004,1
DLG4,PLP1,0.005411978,Co-localization,Schadt-Shoemaker-2004,1
EFNB3,CSRNP3,0.010202225,Co-localization,Johnson-Shoemaker-2003,1
CCK,CSRNP3,0.008832452,Co-localization,Johnson-Shoemaker-2003,1
PLP1,PCYT1B,0.006432496,Co-localization,Johnson-Shoemaker-2003,1
PLP1,GABARAPL2,0.003508606,Co-localization,Johnson-Shoemaker-2003,1
PLP1,YWHAE,0.004557238,Co-localization,Johnson-Shoemaker-2003,1
MAML1,MAML3,0.014130238,Co-localization,Johnson-Shoemaker-2003,1
CSRNP2,CSRNP3,0.009000685,Co-localization,Johnson-Shoemaker-2003,1
GPM6A,YWHAE,0.00600179,Co-localization,Johnson-Shoemaker-2003,1
GPM6A,PLP1,0.001553611,Co-localization,Johnson-Shoemaker-2003,1
GPM6A,DLG4,0.006808003,Co-localization,Johnson-Shoemaker-2003,1
NDUFB10,NDUFS3,0.00939529,Co-localization,Johnson-Shoemaker-2003,1
NMNAT1,NDUFB10,0.012436174,Co-localization,Johnson-Shoemaker-2003,1
MAML2,CMIP,0.000430943,Genetic Interactions,Lin-Smith-2010,1
ANKRD11,MAML2,0.000263771,Genetic Interactions,Lin-Smith-2010,1
ANKRD11,PIGU,0.00172125,Genetic Interactions,Lin-Smith-2010,1
ANKRD11,CSRNP3,0.000794045,Genetic Interactions,Lin-Smith-2010,1
ANKRD11,ATE1,0.000300604,Genetic Interactions,Lin-Smith-2010,1
MAML3,MAML2,0.000199388,Genetic Interactions,Lin-Smith-2010,1
MAML3,ANKRD11,0.00021216,Genetic Interactions,Lin-Smith-2010,1
GRM1,ANKRD11,0.000412442,Genetic Interactions,Lin-Smith-2010,1
DDRGK1,ATE1,0.001110732,Genetic Interactions,Lin-Smith-2010,1
EFNB3,ATE1,0.000908451,Genetic Interactions,Lin-Smith-2010,1
EFNB3,ANKRD11,0.0008482,Genetic Interactions,Lin-Smith-2010,1
PROX1,ANKRD11,0.00025325,Genetic Interactions,Lin-Smith-2010,1
PROX1,MAML3,0.000191435,Genetic Interactions,Lin-Smith-2010,1
PROX1,DDRGK1,0.000935756,Genetic Interactions,Lin-Smith-2010,1
HACD2,MAML2,0.00030723,Genetic Interactions,Lin-Smith-2010,1
HACD2,PROX1,0.000294975,Genetic Interactions,Lin-Smith-2010,1
H2AFY,MAML2,0.00037757,Genetic Interactions,Lin-Smith-2010,1
H2AFY,CNIH2,0.00140513,Genetic Interactions,Lin-Smith-2010,1
H2AFY,PROX1,0.00036251,Genetic Interactions,Lin-Smith-2010,1
TLK2,CMIP,0.000592633,Genetic Interactions,Lin-Smith-2010,1
TLK2,CNIH2,0.001268664,Genetic Interactions,Lin-Smith-2010,1
TLK2,DDRGK1,0.001340316,Genetic Interactions,Lin-Smith-2010,1
TLK2,HACD2,0.000422503,Genetic Interactions,Lin-Smith-2010,1
TLK2,H2AFY,0.000519235,Genetic Interactions,Lin-Smith-2010,1
CCK,CSRNP3,0.002063584,Genetic Interactions,Lin-Smith-2010,1
GABARAPL2,HACD2,0.001539862,Genetic Interactions,Lin-Smith-2010,1
YWHAE,PROX1,0.000846621,Genetic Interactions,Lin-Smith-2010,1
YWHAE,H2AFY,0.001343084,Genetic Interactions,Lin-Smith-2010,1
PLP1,MAML2,0.000884476,Genetic Interactions,Lin-Smith-2010,1
PLP1,SCAND1,0.007181076,Genetic Interactions,Lin-Smith-2010,1
MAML1,GRM1,0.001069209,Genetic Interactions,Lin-Smith-2010,1
CSRNP1,MAML2,0.000448405,Genetic Interactions,Lin-Smith-2010,1
CSRNP1,MAML3,0.000360668,Genetic Interactions,Lin-Smith-2010,1
CSRNP1,EFNB3,0.001441922,Genetic Interactions,Lin-Smith-2010,1
CSRNP1,HACD2,0.000555741,Genetic Interactions,Lin-Smith-2010,1
CSRNP2,TLK2,0.000593182,Genetic Interactions,Lin-Smith-2010,1
CSRNP2,RACK1,0.001443888,Genetic Interactions,Lin-Smith-2010,1
CSRNP2,GABARAPL2,0.002161921,Genetic Interactions,Lin-Smith-2010,1
CNIH3,HACD2,0.000522554,Genetic Interactions,Lin-Smith-2010,1
CNIH3,TLK2,0.000579823,Genetic Interactions,Lin-Smith-2010,1
CNIH3,CSRNP2,0.00073365,Genetic Interactions,Lin-Smith-2010,1
HACD1,MAML2,0.000329243,Genetic Interactions,Lin-Smith-2010,1
HACD1,ATE1,0.000375219,Genetic Interactions,Lin-Smith-2010,1
HACD1,MAML3,0.000264821,Genetic Interactions,Lin-Smith-2010,1
HACD1,GRM1,0.000514816,Genetic Interactions,Lin-Smith-2010,1
HACD1,CSRNP1,0.00059556,Genetic Interactions,Lin-Smith-2010,1
GPM6B,MAML3,0.000587898,Genetic Interactions,Lin-Smith-2010,1
CNIH1,TLK2,0.000776693,Genetic Interactions,Lin-Smith-2010,1
CNIH4,CSRNP2,0.002301163,Genetic Interactions,Lin-Smith-2010,1
GPM6A,ATE1,0.0003,Genetic Interactions,Lin-Smith-2010,1
GPM6A,H2AFY,0.000400949,Genetic Interactions,Lin-Smith-2010,1
GPM6A,YWHAE,0.000936394,Genetic Interactions,Lin-Smith-2010,1
GPM6A,MAML1,0.000726136,Genetic Interactions,Lin-Smith-2010,1
GPM6A,CSRNP1,0.00047617,Genetic Interactions,Lin-Smith-2010,1
GPM6A,GPM6B,0.00077617,Genetic Interactions,Lin-Smith-2010,1
MOXD1,MAML2,0.000337864,Genetic Interactions,Lin-Smith-2010,1
MOXD1,MAML3,0.000271756,Genetic Interactions,Lin-Smith-2010,1
MOXD1,CCK,0.000934296,Genetic Interactions,Lin-Smith-2010,1
MOXD1,PLP1,0.001205497,Genetic Interactions,Lin-Smith-2010,1
DBH,ATE1,0.000510891,Genetic Interactions,Lin-Smith-2010,1
DBH,MAML3,0.000360576,Genetic Interactions,Lin-Smith-2010,1
DBH,CSRNP1,0.000810902,Genetic Interactions,Lin-Smith-2010,1
DBH,CSRNP2,0.000780046,Genetic Interactions,Lin-Smith-2010,1
YWHAG,CMIP,0.000800929,Genetic Interactions,Lin-Smith-2010,1
YWHAG,HACD1,0.000611915,Genetic Interactions,Lin-Smith-2010,1
YWHAG,GPM6A,0.000489247,Genetic Interactions,Lin-Smith-2010,1
NMNAT1,GRM1,0.001852778,Genetic Interactions,Lin-Smith-2010,1
NMNAT3,ATE1,0.000501777,Genetic Interactions,Lin-Smith-2010,1
NMNAT3,GRM1,0.000688459,Genetic Interactions,Lin-Smith-2010,1
NMNAT3,HACD1,0.000584786,Genetic Interactions,Lin-Smith-2010,1
NMNAT3,GPM6B,0.001298213,Genetic Interactions,Lin-Smith-2010,1
NMNAT3,GPM6A,0.000467556,Genetic Interactions,Lin-Smith-2010,1
NMNAT2,NDUFV1,0.001835713,Genetic Interactions,Lin-Smith-2010,1
NMNAT2,CCK,0.001270143,Genetic Interactions,Lin-Smith-2010,1
NMNAT2,MOXD1,0.000626024,Genetic Interactions,Lin-Smith-2010,1
NDUFS3,NDUFV1,0.022744043,Pathway,REACTOME,1
YWHAG,YWHAE,0.01573776,Pathway,REACTOME,1
NDUFB10,NDUFV1,0.022744043,Pathway,REACTOME,1
NDUFB10,NDUFS3,0.022744043,Pathway,REACTOME,1
NDUFS3,NDUFV1,0.14480108,Physical Interactions,Huttlin-Gygi-2015,1
NDUFB10,NDUFS3,0.2425941,Physical Interactions,Huttlin-Gygi-2015,1
DLG4,DERL2,0.06108472,Physical Interactions,Arbuckle-Grant-2010,1
NDUFS3,NDUFV1,0.032303974,Physical Interactions,Guarani-Harper-2014,1
NDUFB10,NDUFS3,0.081664495,Physical Interactions,Guarani-Harper-2014,1
NDUFS3,NDUFV1,0.023107281,Physical Interactions,Floyd-Pagliarini-2016,1
NDUFB10,NDUFS3,0.06114656,Physical Interactions,Floyd-Pagliarini-2016,1
NDUFS3,NDUFV1,0.039475985,Physical Interactions,Havugimana-Emili-2012,1
NDUFB10,NDUFV1,0.037538823,Physical Interactions,Havugimana-Emili-2012,1
ACTB,PCYT1B,0.041080497,Physical Interactions,IREF-BIOGRID,1
NDUFS3,NDUFV1,0.02887159,Physical Interactions,IREF-BIOGRID,1
DLG4,DERL2,0.003284678,Physical Interactions,IREF-BIOGRID,1
MAML1,MAML2,0.18465303,Physical Interactions,IREF-BIOGRID,1
MAML1,MAML3,0.13227925,Physical Interactions,IREF-BIOGRID,1
YWHAG,YWHAE,0.001172917,Physical Interactions,IREF-BIOGRID,1
NDUFB10,NDUFV1,0.042937234,Physical Interactions,IREF-BIOGRID,1
DLG4,YWHAE,0.012008901,Predicted,I2D-IntAct-Mouse2Human,1
DLG4,PLP1,0.07748708,Predicted,I2D-IntAct-Mouse2Human,1
YWHAG,YWHAE,0.35469285,Predicted,I2D-IntAct-Mouse2Human,1
DLG4,ACTB,0.053623866,Predicted,I2D-MINT-Rat2Human,1
YWHAE,DERL2,0.06497415,Predicted,Stuart-Kim-2003,1
NDUFB10,NDUFV1,0.4509208,Predicted,Stuart-Kim-2003,1
MAML3,MAML2,0.5,Shared protein domains,INTERPRO,1
H2AFY,HIST3H2BB,0.009276145,Shared protein domains,INTERPRO,1
MAML1,MAML2,0.5,Shared protein domains,INTERPRO,1
MAML1,MAML3,0.5,Shared protein domains,INTERPRO,1
GAST,CCK,1.0,Shared protein domains,INTERPRO,1
CSRNP1,CSRNP3,0.5,Shared protein domains,INTERPRO,1
CSRNP2,CSRNP3,0.5,Shared protein domains,INTERPRO,1
CSRNP2,CSRNP1,0.5,Shared protein domains,INTERPRO,1
HACD4,HACD2,0.43320528,Shared protein domains,INTERPRO,1
CNIH3,CNIH2,0.37983194,Shared protein domains,INTERPRO,1
HACD1,HACD2,0.43320528,Shared protein domains,INTERPRO,1
HACD1,HACD4,0.43320528,Shared protein domains,INTERPRO,1
GPM6B,PLP1,0.5,Shared protein domains,INTERPRO,1
PROX2,PROX1,0.15851977,Shared protein domains,INTERPRO,1
CNIH1,CNIH2,0.37983194,Shared protein domains,INTERPRO,1
CNIH1,CNIH3,0.37983194,Shared protein domains,INTERPRO,1
CNIH4,CNIH2,0.28304067,Shared protein domains,INTERPRO,1
CNIH4,CNIH3,0.28304067,Shared protein domains,INTERPRO,1
CNIH4,CNIH1,0.28304067,Shared protein domains,INTERPRO,1
GPM6A,PLP1,0.5,Shared protein domains,INTERPRO,1
GPM6A,GPM6B,0.5,Shared protein domains,INTERPRO,1
FRRS1,FRRS1L,0.21817166,Shared protein domains,INTERPRO,1
MOXD1,FRRS1L,0.2584088,Shared protein domains,INTERPRO,1
MOXD1,FRRS1,0.08631713,Shared protein domains,INTERPRO,1
DBH,FRRS1L,0.2133004,Shared protein domains,INTERPRO,1
DBH,FRRS1,0.07124943,Shared protein domains,INTERPRO,1
DBH,MOXD1,0.45331523,Shared protein domains,INTERPRO,1
YWHAG,YWHAE,0.16666667,Shared protein domains,INTERPRO,1
NMNAT1,PCYT1B,0.15666425,Shared protein domains,INTERPRO,1
NMNAT3,PCYT1B,0.15666425,Shared protein domains,INTERPRO,1
NMNAT3,NMNAT1,0.3126638,Shared protein domains,INTERPRO,1
NMNAT2,PCYT1B,0.18338713,Shared protein domains,INTERPRO,1
NMNAT2,NMNAT1,0.15666425,Shared protein domains,INTERPRO,1
NMNAT2,NMNAT3,0.15666425,Shared protein domains,INTERPRO,1
MAML3,MAML2,0.5,Shared protein domains,PFAM,1
H2AFY,HIST3H2BB,0.010427881,Shared protein domains,PFAM,1
MAML1,MAML2,0.5,Shared protein domains,PFAM,1
MAML1,MAML3,0.5,Shared protein domains,PFAM,1
GAST,CCK,1.0,Shared protein domains,PFAM,1
CSRNP1,CSRNP3,0.5,Shared protein domains,PFAM,1
CSRNP2,CSRNP3,0.5,Shared protein domains,PFAM,1
CSRNP2,CSRNP1,0.5,Shared protein domains,PFAM,1
HACD4,HACD2,0.33333334,Shared protein domains,PFAM,1
CNIH3,CNIH2,0.33333334,Shared protein domains,PFAM,1
HACD1,HACD2,0.33333334,Shared protein domains,PFAM,1
HACD1,HACD4,0.33333334,Shared protein domains,PFAM,1
GPM6B,PLP1,0.5,Shared protein domains,PFAM,1
PROX2,PROX1,1.0,Shared protein domains,PFAM,1
CNIH1,CNIH2,0.33333334,Shared protein domains,PFAM,1
CNIH1,CNIH3,0.33333334,Shared protein domains,PFAM,1
CNIH4,CNIH2,0.33333334,Shared protein domains,PFAM,1
CNIH4,CNIH3,0.33333334,Shared protein domains,PFAM,1
CNIH4,CNIH1,0.33333334,Shared protein domains,PFAM,1
GPM6A,PLP1,0.5,Shared protein domains,PFAM,1
GPM6A,GPM6B,0.5,Shared protein domains,PFAM,1
FRRS1,FRRS1L,0.2776678,Shared protein domains,PFAM,1
MOXD1,FRRS1L,0.2569979,Shared protein domains,PFAM,1
MOXD1,FRRS1,0.14210683,Shared protein domains,PFAM,1
DBH,FRRS1L,0.2569979,Shared protein domains,PFAM,1
DBH,FRRS1,0.14210683,Shared protein domains,PFAM,1
DBH,MOXD1,0.41267118,Shared protein domains,PFAM,1
YWHAG,YWHAE,0.16666667,Shared protein domains,PFAM,1
NMNAT1,PCYT1B,0.16937307,Shared protein domains,PFAM,1
NMNAT3,PCYT1B,0.16937307,Shared protein domains,PFAM,1
NMNAT3,NMNAT1,0.16937307,Shared protein domains,PFAM,1
NMNAT2,PCYT1B,0.16937307,Shared protein domains,PFAM,1
NMNAT2,NMNAT1,0.16937307,Shared protein domains,PFAM,1
NMNAT2,NMNAT3,0.16937307,Shared protein domains,PFAM,1
NRXN3,ZFPM2,0.005622437,Co-expression,Roth-Zlotnik-2006,2
ZBTB20,ZNF462,0.022014352,Co-expression,Roth-Zlotnik-2006,2
PPP2R2B,KIRREL3,0.015357215,Co-expression,Roth-Zlotnik-2006,2
MEIS2,ZNF462,0.0200585,Co-expression,Roth-Zlotnik-2006,2
RUNX1T1,ZFPM2,0.015360349,Co-expression,Roth-Zlotnik-2006,2
RUNX1T1,NRXN3,0.009220525,Co-expression,Roth-Zlotnik-2006,2
ERC2,LRRTM4,0.005127398,Co-expression,Roth-Zlotnik-2006,2
ERC2,MYCBP2,0.006699367,Co-expression,Roth-Zlotnik-2006,2
ERC2,PPFIA2,0.004341328,Co-expression,Roth-Zlotnik-2006,2
TCF4,ZFPM2,0.011818433,Co-expression,Roth-Zlotnik-2006,2
TCF4,MYCBP2,0.01534966,Co-expression,Roth-Zlotnik-2006,2
TCF4,RUNX1T1,0.022381898,Co-expression,Roth-Zlotnik-2006,2
NEGR1,LRRTM4,0.014272684,Co-expression,Roth-Zlotnik-2006,2
NEGR1,ERC2,0.008207017,Co-expression,Roth-Zlotnik-2006,2
C19ORF47,NTM,0.016397336,Co-expression,Roth-Zlotnik-2006,2
DAO,TRPM3,0.023993887,Co-expression,Roth-Zlotnik-2006,2
DAO,SLC4A4,0.022285383,Co-expression,Roth-Zlotnik-2006,2
ELAVL4,ELAVL2,0.017740913,Co-expression,Roth-Zlotnik-2006,2
ELAVL4,ERC2,0.008728174,Co-expression,Roth-Zlotnik-2006,2
LHX2,PPFIA2,0.008693033,Co-expression,Roth-Zlotnik-2006,2
LHX2,ERC2,0.005847903,Co-expression,Roth-Zlotnik-2006,2
HDAC1,HDAC3,0.003543559,Co-expression,Roth-Zlotnik-2006,2
NLGN1,RFX3,0.014967871,Co-expression,Roth-Zlotnik-2006,2
NLGN1,PPFIA2,0.008317874,Co-expression,Roth-Zlotnik-2006,2
NLGN1,TCF4,0.011989383,Co-expression,Roth-Zlotnik-2006,2
SRRM2,DMD,0.009908373,Co-expression,Wu-Garvey-2007,2
ZBTB20,DMD,0.011623008,Co-expression,Wu-Garvey-2007,2
ZBTB20,SRRM2,0.021654602,Co-expression,Wu-Garvey-2007,2
KHDRBS3,AHCYL2,0.011467597,Co-expression,Wu-Garvey-2007,2
MYCBP2,SRRM2,0.017538639,Co-expression,Wu-Garvey-2007,2
TCF12,AUTS2,0.010036537,Co-expression,Wu-Garvey-2007,2
RFX4,PROX1,0.025539078,Co-expression,Wu-Garvey-2007,2
DPYSL3,DMD,0.008917391,Co-expression,Wu-Garvey-2007,2
DPYSL3,ZBTB20,0.019873448,Co-expression,Wu-Garvey-2007,2
DPYSL3,KHDRBS3,0.01738377,Co-expression,Wu-Garvey-2007,2
DPYSL3,MYCBP2,0.01668138,Co-expression,Wu-Garvey-2007,2
DAO,RFX3,0.008367917,Co-expression,Wu-Garvey-2007,2
DAO,PPFIA2,0.005337406,Co-expression,Wu-Garvey-2007,2
ELAVL4,MEIS2,0.007236137,Co-expression,Wu-Garvey-2007,2
LHX2,NRXN3,0.015896048,Co-expression,Wu-Garvey-2007,2
HDAC1,LHX2,0.021154718,Co-expression,Wu-Garvey-2007,2
NLGN1,ERC2,0.005043093,Co-expression,Wu-Garvey-2007,2
NRXN3,KCNN2,0.027174288,Co-expression,Smirnov-Cheung-2009,2
AUTS2,NRXN3,0.009957057,Co-expression,Smirnov-Cheung-2009,2
MEIS2,AUTS2,0.009848576,Co-expression,Smirnov-Cheung-2009,2
LHX2,KCNN2,0.026844688,Co-expression,Smirnov-Cheung-2009,2
LHX2,NRXN3,0.02694181,Co-expression,Smirnov-Cheung-2009,2
LHX2,AUTS2,0.010788504,Co-expression,Smirnov-Cheung-2009,2
LHX2,KHDRBS3,0.01619522,Co-expression,Smirnov-Cheung-2009,2
NLGN1,MEIS2,0.01145082,Co-expression,Smirnov-Cheung-2009,2
KHDRBS3,NRXN3,0.019868126,Co-expression,Wang-Cheung-2015,2
MYCBP2,SRRM2,0.022343691,Co-expression,Wang-Cheung-2015,2
DPYSL3,ZFPM2,0.017538449,Co-expression,Wang-Cheung-2015,2
DAO,RFX3,0.010066726,Co-expression,Wang-Cheung-2015,2
ELAVL4,ELAVL2,0.01584427,Co-expression,Wang-Cheung-2015,2
ZBTB20,SRRM2,0.010700651,Co-expression,Bahr-Bowler-2013,2
MYCBP2,SRRM2,0.010377036,Co-expression,Bahr-Bowler-2013,2
MYCBP2,ZBTB20,0.008298752,Co-expression,Bahr-Bowler-2013,2
TCF3,TCF4,0.02266555,Co-expression,Bahr-Bowler-2013,2
NCOR1,CTR9,0.008783789,Co-expression,Bahr-Bowler-2013,2
HDAC1,SIN3A,0.009365395,Co-expression,Bahr-Bowler-2013,2
ZFPM2,RFX3,0.021853,Co-expression,Innocenti-Brown-2011,2
AUTS2,LYST,0.02117875,Co-expression,Innocenti-Brown-2011,2
DPYSL3,TCF4,0.012988343,Co-expression,Innocenti-Brown-2011,2
DAO,SLC4A4,0.006704728,Co-expression,Innocenti-Brown-2011,2
DAO,CNTNAP2,0.004909863,Co-expression,Innocenti-Brown-2011,2
ERC2,NTM,0.017292935,Co-expression,Mallon-McKay-2013,2
ERC2,NRXN3,0.018293086,Co-expression,Mallon-McKay-2013,2
TCF12,RFX3,0.014459278,Co-expression,Mallon-McKay-2013,2
SIN3A,TCF3,0.011866295,Co-expression,Mallon-McKay-2013,2
DPYSL3,PPP2R2B,0.009014624,Co-expression,Mallon-McKay-2013,2
DPYSL3,CNTNAP2,0.016453218,Co-expression,Mallon-McKay-2013,2
MEIS2,ZNF462,0.010641895,Co-expression,Ramaswamy-Golub-2001,2
MEIS2,SLC4A4,0.008960127,Co-expression,Ramaswamy-Golub-2001,2
ELAVL4,SLC8A1,0.012149843,Co-expression,Ramaswamy-Golub-2001,2
ERC2,DMD,0.011061023,Co-expression,Alizadeh-Staudt-2000,2
CTR9,ERC2,0.009205168,Co-expression,Alizadeh-Staudt-2000,2
MEIS2,PROX1,0.022070752,Co-expression,Wang-Maris-2006,2
CBFA2T2,PROX1,0.010662191,Co-expression,Wang-Maris-2006,2
TCF4,CBFA2T2,0.015139315,Co-expression,Wang-Maris-2006,2
PPFIA3,ERC2,0.008659654,Co-expression,Wang-Maris-2006,2
TCF12,TCF3,0.012766833,Co-expression,Wang-Maris-2006,2
DPYSL3,AHCYL2,0.011028655,Co-expression,Wang-Maris-2006,2
DPYSL3,ERC2,0.007069702,Co-expression,Wang-Maris-2006,2
ELAVL4,CNTNAP2,0.015891256,Co-expression,Wang-Maris-2006,2
KHDRBS3,DMD,0.006669987,Co-expression,Bild-Nevins-2006 B,2
MEIS2,DMD,0.005614822,Co-expression,Bild-Nevins-2006 B,2
MEIS2,ZBTB20,0.008581336,Co-expression,Bild-Nevins-2006 B,2
CTR9,AUTS2,0.008126576,Co-expression,Bild-Nevins-2006 B,2
TCF4,PROX1,0.024690144,Co-expression,Bild-Nevins-2006 B,2
NLGN1,DAO,0.009248492,Co-expression,Bild-Nevins-2006 B,2
DMD,KCNN2,0.013220851,Co-expression,Dobbin-Giordano-2005,2
KHDRBS3,ELAVL2,0.004929647,Co-expression,Dobbin-Giordano-2005,2
MEIS2,ZFPM2,0.006365716,Co-expression,Dobbin-Giordano-2005,2
TCF4,MYCBP2,0.011963425,Co-expression,Dobbin-Giordano-2005,2
TCF4,MEIS2,0.006226998,Co-expression,Dobbin-Giordano-2005,2
TCF12,MYCBP2,0.019444853,Co-expression,Dobbin-Giordano-2005,2
DAO,SLC4A4,0.010691664,Co-expression,Dobbin-Giordano-2005,2
DAO,DMD,0.009754834,Co-expression,Dobbin-Giordano-2005,2
LHX2,HDAC3,0.008970273,Co-expression,Dobbin-Giordano-2005,2
PPFIA2,KIRREL3,0.008053838,Co-expression,Chen-Brown-2002,2
ERC2,MEIS2,0.008769918,Co-expression,Chen-Brown-2002,2
PPFIA1,ERC2,0.006693239,Co-expression,Chen-Brown-2002,2
ELAVL4,PPFIA2,0.010472775,Co-expression,Chen-Brown-2002,2
LHX2,DPYSL3,0.014890866,Co-expression,Chen-Brown-2002,2
TRPM3,HS6ST3,0.000281097,Genetic Interactions,Lin-Smith-2010,2
KIRREL3,TRPM3,0.000229275,Genetic Interactions,Lin-Smith-2010,2
SLC4A4,TRPM3,0.000286104,Genetic Interactions,Lin-Smith-2010,2
KCNN2,TRPM3,0.000279169,Genetic Interactions,Lin-Smith-2010,2
KCNN2,KIRREL3,0.000269589,Genetic Interactions,Lin-Smith-2010,2
KCNN2,SLC4A4,0.000336411,Genetic Interactions,Lin-Smith-2010,2
DMD,KIRREL3,0.000504862,Genetic Interactions,Lin-Smith-2010,2
RFX3,KIRREL3,0.00037022,Genetic Interactions,Lin-Smith-2010,2
RFX3,SLC4A4,0.000461984,Genetic Interactions,Lin-Smith-2010,2
LYST,HS6ST3,0.000673937,Genetic Interactions,Lin-Smith-2010,2
LYST,DMD,0.00125343,Genetic Interactions,Lin-Smith-2010,2
SRRM2,DMD,0.001455824,Genetic Interactions,Lin-Smith-2010,2
ZFPM2,KIRREL3,0.000435496,Genetic Interactions,Lin-Smith-2010,2
ZFPM2,LRRTM4,0.00235632,Genetic Interactions,Lin-Smith-2010,2
ZFPM2,SRRM2,0.001255801,Genetic Interactions,Lin-Smith-2010,2
SLC8A1,HS6ST3,0.000336999,Genetic Interactions,Lin-Smith-2010,2
SLC8A1,JPH1,0.001335405,Genetic Interactions,Lin-Smith-2010,2
SLC8A1,TRPM3,0.000284638,Genetic Interactions,Lin-Smith-2010,2
